,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,-50,-49,-48,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1
169,169,2230,4119,591,295,4546,2806,2962,4816,2476,808,3799,5288,5264,4683,2025,2094,2408,3212,712,1747,2790,2355,2749,4118,783,2235,2000,1601,3399,1362,4098,4686,762,3787,1789,4378,1353,1400,270,3496,2441,2646,3483,3539,1968,227,2288,1887,1483,5326,1231,3820,1330,4715,3281,5026,1232,2268,1280,2381,1251,2733,4344,2179,2371,3285,5068,4467,367,3869,4511,842,2941,3666,3464,4011,3111,1388,413,3580,4295,680,4158,741,2038,2258,1983,3961,2059,4765,5102,1740,3934,3208,752,4883,2504,3430,1381
170,170,21,3426,810,1548,2895,4102,2598,430,4304,2635,280,1268,2486,1828,1942,697,719,2132,2407,1883,3618,2163,3178,2306,2740,407,2657,231,4842,529,2111,2110,3835,4778,4426,1026,701,4544,1518,3791,3259,2951,464,242,134,3531,4729,4745,53,2257,2710,2493,2889,2151,5291,482,4295,852,198,3092,3267,4404,3145,1005,4275,1838,2351,5170,5186,1812,4336,1788,4669,1766,3277,143,3869,1232,1163,2637,3137,1479,4538,4573,1983,3961,2936,2021,752,4011,5102,1231,367,2258,3430,4883,4765,3934,1381
171,171,2676,5188,2809,3319,1586,2425,924,154,2551,3094,3083,4895,5208,4413,3433,3479,2149,2756,4205,1078,4401,3467,3548,4857,1875,3779,3320,585,3981,4528,4759,1237,4742,2228,2638,355,1095,3726,5145,3051,3775,978,1830,1957,5196,3484,335,1101,2198,4080,5215,843,2433,366,3247,3514,4978,700,609,3768,4004,715,4817,850,1616,4832,649,549,4291,5118,2076,5044,1131,4218,2145,2405,1303,5063,1831,413,3716,5147,4457,3029,288,4945,3069,809,3185,3421,2622,1283,632,4322,3285,3763,4598,5068,2941
172,172,2178,5027,5248,2288,1210,1733,1039,2094,2929,2762,3765,5075,1618,1246,1043,2643,5240,200,3231,1670,5252,4543,4098,4708,4154,3465,1641,1968,4599,2547,783,4477,295,4480,3264,2971,308,1362,2437,796,1236,895,2902,714,138,3496,1731,3889,2776,4341,2936,4011,1425,741,2038,3185,4978,5044,3961,4295,3029,3580,4945,4322,1232,1983,5147,4457,632,367,3869,5215,413,2733,5102,4158,288,1088,3111,1283,2179,2258,752,809,1740,2504,2145,4765,4883,3763,4598,3934,3208,1303,3430,3285,5068,1381,2941
173,173,1453,3002,4854,2322,28,1258,782,4954,4500,3225,4525,2915,4676,1608,2414,4953,3248,4850,1220,1365,2645,460,2086,1341,2075,4968,3443,1580,3976,1133,5191,4751,2567,4664,4476,822,1842,702,2704,5238,5020,647,1652,3273,1340,402,2895,3227,685,2433,3331,366,700,3768,3514,4832,3247,843,239,670,1189,3081,5044,4978,715,609,2211,2493,2926,1131,4004,5118,2957,5063,549,2405,2076,632,4080,4817,2145,4218,3069,809,1283,5147,3029,4457,3185,3716,3763,4945,4322,2622,3421,3285,5068,4598,2941
174,174,4095,567,5260,5157,255,207,4113,862,4903,5139,4881,1452,57,127,2634,3967,4342,4130,276,47,1713,431,3686,5223,2824,4483,4206,285,2474,1211,2838,2798,2469,3954,2794,3190,155,5040,3274,447,1148,3821,2107,1621,1252,4922,375,2222,1806,1088,4291,649,4590,147,4978,5192,4218,1425,4817,2672,843,2433,850,549,3421,5063,1831,1740,5044,4137,5118,2405,715,1131,4004,4158,3069,2076,609,1303,3716,2145,3185,288,2622,3029,4457,5147,4945,1283,4322,632,809,413,3763,4598,3285,5068,2941
175,175,1984,4683,1483,2790,2905,461,1680,4927,3143,4852,3772,2375,246,2280,4237,2087,1937,2025,5264,1102,1968,712,2408,5268,4260,4801,2929,340,4468,591,2494,334,416,3799,145,4932,2648,1175,5333,2094,4157,2108,3187,1952,3964,2355,2167,4767,1494,3620,2661,2381,4279,1303,4011,3121,4467,1232,4479,1388,2145,2279,809,2733,2258,367,3820,413,1851,3464,239,680,3961,1983,752,4295,2059,5026,4765,842,2466,5068,5102,2371,2941,2211,3580,741,2038,3934,3208,4883,3285,2504,1740,1251,4158,1381,3430
176,176,2077,258,4652,1211,4929,2001,3963,3950,3328,3582,4922,3760,3149,452,2735,4095,611,4032,2833,729,1010,1393,2720,1656,3343,2491,3668,4233,735,276,3094,496,2285,5145,1920,4738,3432,4526,1823,2222,2634,3026,4903,1367,3719,148,4113,4881,4052,1303,5192,2957,4832,700,4291,413,1189,3768,3514,2294,2433,1831,649,850,670,288,843,4978,5063,4817,549,1131,4218,715,5044,5118,3421,609,2405,4004,2076,3069,3716,2145,4457,632,3029,4322,3185,2622,5147,4945,1283,809,3763,4598,3285,5068,2941
177,177,745,4168,931,1035,557,4362,1411,2531,1392,1033,4848,494,1399,4262,4503,4509,2198,4919,2708,3268,859,2056,1853,4061,5001,3398,4665,545,1113,2148,2228,798,3130,1882,847,1205,1092,2969,5188,1536,3374,3807,1698,3575,5032,1103,3298,3739,4644,2661,3111,3666,4106,1838,3192,4110,462,367,4702,4005,4838,1543,1163,4123,1280,4305,4715,3588,4344,2859,1740,1611,1746,2258,2059,2262,218,4598,89,947,4735,3285,5215,3934,1425,2912,2504,2162,3326,1315,4042,4328,1381,4341,2179,5068,3318,1303,2941
178,178,61,3618,1080,3642,4426,2096,1034,2341,1828,1347,2392,4748,2486,2206,1425,719,3853,4588,1416,4746,3201,5151,797,4745,3865,1218,3386,3568,697,213,242,1724,1249,5215,5320,3492,3117,4304,3239,3542,1325,4662,3178,766,5100,2261,3697,3684,4392,3463,4275,1788,684,3158,785,5186,1005,2351,4295,4336,482,4404,1812,2292,2637,3649,4669,4538,1983,1662,143,3277,1163,2219,1232,1766,4675,3362,4573,1388,3137,1448,2021,2936,1479,2371,752,1231,3961,4011,2211,4765,2258,5102,367,3430,4883,3934,1381
179,179,491,16,2446,4068,1433,465,3295,3914,1288,581,5173,4955,4148,4367,3457,1832,346,1368,3384,1873,3607,633,4906,1929,2424,2498,1382,4455,298,2660,312,3992,3147,5235,3363,2965,3404,3445,4880,5299,525,2940,3804,3815,2359,2538,1169,4997,2864,632,5044,2512,4598,89,2363,3271,4136,5329,1283,4137,2059,3121,4781,3287,4715,2381,61,3207,1347,2261,809,2392,1950,3495,3117,5026,3588,3684,2268,3763,2038,741,2912,3318,218,3208,3580,3285,4158,2179,288,2504,1425,5215,1740,1088,5068,2941,1303
180,180,4541,96,2018,1996,5193,2376,4899,1988,220,1343,5012,2767,4127,3911,4013,393,2832,2896,4523,662,536,750,1651,1907,2382,4570,72,3001,162,473,5337,2026,4554,2248,738,885,744,1743,3351,1690,1970,475,1411,1943,92,4834,2900,4638,2051,1798,143,1788,1025,5186,3666,1212,1983,1745,3339,2637,4573,4735,2710,1812,2021,2377,1273,896,1479,3267,3277,1231,5170,2351,4042,1766,4344,3137,680,1163,1232,4538,3092,1838,3961,4011,5102,4669,1746,1505,2936,3430,367,752,4883,4765,2258,3934,1381
181,181,3439,4209,505,5315,4866,1188,598,2408,884,3275,1661,1168,4473,916,4653,3742,951,4138,2988,815,3184,3577,2131,4237,762,1271,4977,1362,4187,2586,626,3842,1013,1513,2664,541,1623,2256,3516,4909,4800,3683,4510,4036,4378,4368,3451,1955,3818,4042,143,2859,3267,2351,1388,3421,3208,2021,680,4573,5170,3137,5186,2661,4598,1746,1845,4158,1812,1479,3092,4735,4669,3277,1766,2059,1231,1983,1163,1740,2936,3285,2371,5102,413,3961,2211,4765,5068,2504,367,4011,4883,752,2941,3430,3934,2258,1381
182,182,2848,2426,2859,4050,2045,5242,2137,3126,1941,2027,347,3578,941,2347,3391,336,4212,3782,4047,1787,3759,994,2337,1592,2059,5290,2221,833,3657,425,1417,284,4581,159,4121,4077,2312,5325,1280,5046,2883,1097,0,4321,4444,997,4641,4122,1396,3331,2926,1831,649,4832,239,2850,843,1189,700,2433,3768,2493,3514,2211,609,5044,715,670,5118,4004,1131,549,4218,2405,2076,4817,4978,4080,809,3069,5063,3029,5147,632,1283,2957,4457,3185,2145,2622,3716,4945,4322,3763,3285,3421,5068,4598,2941
183,183,345,134,1693,2414,3004,2181,693,4117,3644,280,1465,4476,4402,1608,2322,2927,2827,1976,4679,3002,4001,4633,85,575,4739,1257,1969,1030,3079,2030,1417,2111,3945,2688,4100,402,4394,1133,1268,1613,2291,2895,66,2075,21,3886,3103,1715,4129,1283,3145,2305,4074,1232,3763,4312,3716,198,1052,2021,2957,4218,2351,2145,3185,1479,2371,5102,809,4322,4080,3092,4573,3137,2850,1231,1448,4538,752,2622,4005,4011,2493,3430,2211,1838,4883,2936,1163,4765,4598,3285,367,2258,5068,3934,3421,1381,2941
184,184,943,5035,4853,4123,2298,3586,2243,3203,3423,4220,4341,4838,4328,388,2183,29,1068,2931,3540,78,2760,3832,396,4982,4547,4727,4144,1944,2821,4989,262,2689,3122,1436,4871,4743,5056,3526,460,1499,5218,1458,3938,1913,4396,4021,71,4798,4737,2433,4951,2271,1844,1189,3317,2294,5063,632,5192,2493,2926,3081,4080,5118,670,3069,5044,843,715,2405,1131,2371,2957,4817,4218,4004,1283,3185,609,4978,2076,4322,2622,3029,2211,549,3763,5147,3421,239,3716,4457,4945,809,2145,2941,4598,5068,3285
185,185,3202,2101,4474,1513,2391,2972,2479,2798,4407,4059,168,3523,2705,2469,2586,4437,4566,543,2113,4209,3516,3981,3439,4531,826,1806,1776,918,4473,4187,4869,862,2430,696,598,720,1621,4742,1348,3235,291,3931,1328,2709,2526,2089,4208,3156,5036,5329,3865,4978,2076,4715,218,3208,2392,2405,3069,1087,2363,3716,1131,1831,2881,2672,1950,3421,4590,2179,3974,3029,1425,3185,1088,5044,5147,4945,2504,3580,2622,4457,2145,5215,4137,809,4158,1283,1740,4322,632,1303,288,3763,3285,4598,413,5068,2941
186,186,3846,3338,1622,3991,995,3599,4523,5193,2018,3520,4347,4575,1185,700,315,4687,2603,3567,4978,3890,92,1921,3670,1690,406,2619,434,3796,662,1131,1943,1151,2376,2209,3998,744,72,2294,475,4899,1189,4803,5024,3001,4196,522,670,294,1725,3092,1025,2661,4715,1231,4088,4538,2901,4328,3267,2351,4573,1812,1315,4123,1845,3192,1232,1766,896,1479,1662,1838,1505,4735,1657,4011,4669,3464,2504,4042,2936,3208,3961,752,3111,3666,5102,367,4341,4765,2258,680,3430,4883,2733,4344,1746,3934,1381
187,187,1753,3374,2056,2256,3173,3805,1324,4618,332,3554,5284,3358,3613,1630,4120,4187,1684,916,2437,2274,2969,3739,3184,1931,3617,455,1882,5039,308,400,5036,5072,2148,5061,3086,38,3687,1885,739,4943,4065,771,1186,4890,1198,1399,4059,1807,4533,4765,89,4945,2145,4883,1088,4344,3326,5147,1163,2733,4106,3185,3069,2881,3111,3974,4042,1740,367,3318,1425,4322,3588,3421,4341,2912,1950,4715,2162,2504,2622,632,809,2258,1283,288,3934,5215,3208,2179,3763,218,1381,413,4598,3285,5068,1303,2941
188,188,4245,3112,2875,5142,2036,2661,2829,1845,3024,443,3456,359,2699,5046,1679,4585,2345,5230,2511,4077,1157,939,1737,1920,1422,4524,3328,950,3766,4067,1823,3392,945,1657,1150,3333,1909,4303,3724,1397,727,1977,1442,2992,984,5275,5158,2215,1396,4371,3064,700,3247,3331,2294,4291,4218,2433,549,4817,670,3514,1131,3421,1831,850,3768,649,4832,843,288,4978,5118,2076,4004,715,609,5063,2405,5044,3716,4457,1303,4945,3069,2145,3185,2622,3029,4322,632,5147,809,1283,3763,4598,3285,5068,2941
189,189,2313,2641,4469,3366,4390,1775,2584,1275,3068,2794,5075,4714,2824,1885,417,1731,5112,1354,799,835,1377,676,3686,4532,5314,2815,5088,3133,1871,199,2005,1023,4721,2958,2320,2280,623,285,2316,5036,1366,2929,5260,2288,2437,2762,1032,824,5011,1825,741,715,2059,3069,3684,1381,2076,3185,218,3716,4715,3580,2733,1087,147,3430,1088,4590,2038,2009,3029,2622,1950,4945,4322,4457,2881,5147,3111,3974,4137,632,288,1283,1740,1425,809,2504,4158,2179,3763,4344,3208,4598,1303,3285,5068,413,2941
190,190,1659,1976,4579,1331,879,2629,3215,3498,3908,718,3481,750,805,4101,337,1797,3351,890,2971,74,3268,3425,172,614,278,648,5133,308,3231,1235,1012,2943,3103,556,1834,4653,1188,4591,2896,3936,4269,2437,2348,301,2447,5266,1324,3184,5332,2046,4961,2211,2582,4404,1569,143,3111,1788,198,482,2941,2960,3267,2377,4336,5186,1212,1025,1662,5170,2637,1766,3277,4275,3092,1983,3137,2021,4669,1232,3961,4538,4573,2936,1838,2351,1231,1479,1163,752,4011,5102,3430,4765,367,4883,2258,3934,1381
191,191,1807,2596,703,3129,300,1931,1648,5284,3608,4684,3529,2089,455,3499,306,3598,1960,5039,2652,926,4391,2006,4601,2328,3554,664,4134,5163,1643,2029,3173,4268,921,5091,3051,1018,4065,2815,3692,432,3793,2967,2238,1504,668,495,4875,2149,138,715,2912,2672,5118,4291,2076,609,4978,4832,3684,850,2170,1131,4341,2405,649,3716,1088,3208,1616,3588,5063,3421,1831,2392,2179,218,5044,3069,1425,4945,3029,2145,4457,3185,5147,2622,5215,809,4322,1283,413,288,632,3285,3763,4598,1303,5068,2941
192,192,270,1244,4138,3708,626,2213,1887,237,2664,1601,4036,1623,783,1529,4473,4174,4209,429,2332,4368,2539,4378,546,4163,4128,535,4480,5299,2065,1362,4506,2709,870,505,3616,3451,4909,884,4866,3833,815,2773,4977,1092,762,1661,2646,2441,2476,4042,1505,2710,5186,2377,1479,1766,1838,4341,4538,3339,5170,1845,4344,3464,3092,4295,896,1273,3267,1231,2021,4715,4467,2661,2059,3277,1232,4669,2936,4735,2733,3666,680,3111,1746,367,5102,4011,1983,3961,3208,4765,2504,2258,4883,752,3934,3430,1381
193,193,2244,2214,1186,1810,3750,3354,2010,1624,2185,4754,932,3387,2049,3424,3923,905,2190,4648,2308,3817,2409,5206,3400,399,5265,111,1104,1198,2748,1757,826,4437,2065,4611,1192,2938,1140,2430,2323,2128,2940,3882,767,3290,5103,599,2621,4250,4504,3666,4590,3304,1676,4123,1283,5305,4328,3757,3684,3117,1974,632,2392,4251,4598,2733,3326,1740,3763,4106,3580,2512,3111,2059,4042,89,3285,3974,1088,3318,2881,4341,1425,4344,3588,2162,4715,2504,288,413,1950,5215,2912,218,5068,3208,2179,2941,1303
194,194,3343,4107,3511,2605,2125,1422,3668,3328,4032,4425,1909,4306,4652,3733,4215,4526,4515,1486,1262,5013,1194,3070,2833,2588,222,2562,3719,4922,1957,620,3442,232,4549,1779,258,5228,4704,3573,1977,2999,2077,5203,4929,3096,4738,4356,775,2180,3107,5215,2392,1189,700,413,4080,4291,670,3768,4978,3514,4832,850,2433,4817,549,649,843,4218,1831,609,5044,715,1131,4004,2076,288,5118,5063,2405,2145,3421,1303,3716,4457,3069,5147,3185,3029,4945,2622,809,1283,4322,632,3763,3285,4598,5068,2941
195,195,1880,4217,5025,5271,2075,280,1828,2111,702,21,1184,3178,2997,5320,2895,1510,5100,5191,2311,2175,94,3103,1325,2306,3642,3259,2407,1942,134,4481,3531,4500,1545,1883,2793,88,4000,4849,85,2657,1693,4392,1053,3372,490,1817,301,829,2378,2140,2636,4074,2292,684,1983,4538,4573,3961,4312,2021,143,1479,4080,4867,2145,1232,3137,1388,3716,3473,239,2219,1163,1231,2305,2926,752,4011,5068,4598,2957,2936,5102,3285,2941,4675,2850,2493,3421,4765,1448,4883,3430,367,2258,2371,3934,2211,1381
196,196,376,3547,1596,1560,3376,4241,2274,903,2973,1465,671,578,4776,1117,5231,3809,523,392,1804,1136,1004,4949,4434,5194,4984,3650,771,2688,3441,3086,2510,1286,2439,44,3435,1769,3433,1962,4818,5165,3490,997,268,1755,3200,3085,3783,1934,4667,4080,3737,2351,5147,198,3768,2957,3029,2610,1831,1118,1522,809,3907,605,2852,4832,2207,3716,2836,274,3732,1838,3092,630,1598,367,5063,4005,3185,1277,1381,3069,1283,4108,3763,3934,632,2258,1021,4322,2622,3285,1163,1315,3421,4598,1303,5068,2941
197,197,3680,5106,3533,1317,2985,1360,1699,401,160,2535,1892,2335,3564,5323,1759,3819,2246,2154,3646,958,4848,4214,2752,1114,2068,3593,2559,4168,2612,4454,1635,966,3500,3329,1915,1132,3703,2358,2853,3935,1542,1698,1256,1595,823,4750,1169,5105,1259,2261,4305,1053,2392,3969,1543,2032,4702,288,2512,1458,3117,3580,4251,5068,5305,1676,3980,4123,1347,3684,2300,1980,3285,1825,4106,89,4484,4328,1950,3271,4715,2162,2504,3111,3928,2733,1088,4344,3318,2912,2941,5215,1425,4341,3208,218,3588,2179,1303
198,198,3655,3845,48,2416,3940,3519,502,1912,3401,81,1467,689,3361,3378,1864,5186,5200,852,4813,3213,5170,4654,3626,4466,5087,324,2284,2377,3137,3452,3172,4961,2165,3679,4430,3662,5232,2879,97,4011,3838,1428,2653,3092,1766,917,4733,2099,1781,3865,3580,1740,4158,2294,147,4817,3514,3064,1831,843,649,2433,4371,2392,850,1131,1088,5063,5215,5044,3684,2405,1425,2145,3716,2076,413,5118,4004,3069,715,4457,609,4322,3185,4945,2622,3029,5147,632,1303,288,809,1283,3763,4598,5068,3285,2941
199,199,1747,3824,2502,4483,5288,421,2838,1952,5040,607,4942,2649,3496,207,2962,2440,4546,2521,4064,844,2940,862,2794,3686,988,3977,1498,2476,145,1731,2790,796,2702,4623,3212,2864,2749,63,1471,127,4390,551,4892,3182,255,3539,2591,2025,3150,5329,5326,2881,2268,3185,4344,3664,1950,1131,218,3974,2059,2076,1087,609,2622,2466,5026,741,3684,4945,5044,3029,5215,4590,1425,2038,4322,5147,2179,2145,632,1088,4137,4457,3208,1283,3580,2504,809,288,1303,4158,4598,1740,3763,413,3285,5068,2941
200,200,2762,4543,3182,1747,2649,3496,2440,796,4708,5040,4059,3824,5288,2717,2815,432,1731,3692,24,255,3686,4246,2316,2094,4314,145,2597,4718,616,3954,5036,4064,2838,207,2794,2643,427,5075,7,199,607,1916,3771,1023,933,2288,1366,988,375,1087,2038,5063,850,843,2881,218,5118,4978,2405,4590,2392,3069,4004,1131,715,1425,3716,3684,4137,2076,609,3208,2504,2179,3580,2622,3185,5044,1088,5215,3029,4945,4158,4322,5147,4457,2145,1740,632,1283,809,288,1303,413,3763,4598,3285,5068,2941
201,201,536,2436,1274,5332,101,1948,1725,4104,1542,2721,4188,4819,535,3031,595,2295,3101,4899,2201,2539,3984,4685,4886,393,748,3001,1440,5132,2376,3908,5105,869,1409,2663,3436,2853,3834,1529,2026,4369,1856,970,3990,3911,4593,2481,5226,1497,802,1280,3980,1505,2582,1838,741,4295,4538,3267,1479,1845,1273,3339,4042,896,4735,2059,2021,3277,4669,1231,4715,2661,3464,3869,4467,2936,4341,367,4011,1983,1232,4344,2179,680,3961,3666,1746,2258,5102,2733,4765,3111,752,4883,3208,3934,3430,2504,1381
202,202,3627,2729,5228,775,2801,1909,258,4526,4089,2833,1919,4895,4024,5275,1253,2605,221,3432,3096,215,611,3861,1194,4177,1977,3084,1086,792,354,565,3328,4922,56,4310,3171,1078,1576,1486,729,222,339,3625,1956,4878,470,2666,4759,4142,2679,3865,670,3247,700,2392,1425,549,3768,4978,3514,4817,2433,4291,413,843,4218,1131,649,850,4832,715,4004,2076,5044,3421,5118,1831,2405,609,5063,288,3716,2145,4457,4945,3069,1303,3029,2622,3185,5147,4322,809,1283,632,3763,3285,4598,5068,2941
203,203,1667,3954,574,114,1537,3515,127,145,2487,2011,952,2474,2087,3144,2668,5312,3250,1169,2365,1547,4469,3190,4237,551,501,1656,276,862,2521,844,1032,1952,1806,3202,4483,57,2864,375,1275,4971,255,1776,2591,4665,1649,3686,4869,1293,5112,5192,3139,1425,4218,1376,1088,4817,843,288,2268,1131,2504,5026,413,5118,5329,1851,3069,3580,5044,2405,2038,715,741,549,1303,3716,632,4004,2145,3185,4322,2076,4457,609,3664,3029,2622,4945,1283,5147,3763,4158,4137,809,1740,4598,5068,3285,2941
204,204,3769,3829,3118,349,97,3060,4298,2811,1036,891,25,1859,5319,1742,2462,1544,3751,3662,447,2074,1534,4093,4436,3678,547,904,5181,4647,4952,4084,1282,3279,2431,1541,1910,3722,4795,3884,824,3090,1202,3274,445,1134,4537,153,917,3258,3109,3069,4978,3876,1831,3865,3716,218,2433,2294,649,4590,843,4371,5118,3207,715,2405,2622,2076,2392,4004,1131,3185,850,4945,4158,5215,3580,1425,609,3684,413,1740,5044,3029,1088,4322,2145,4457,5147,1283,632,1303,809,4598,288,3763,3285,5068,2941
205,205,1685,3075,4009,1164,5092,985,1705,4448,4902,4151,2019,853,1490,1048,1585,901,3486,1304,1124,4124,2174,1153,2713,4090,5256,2922,2072,4856,2555,779,1777,2911,3596,397,1384,3989,1874,898,1116,69,569,659,743,1682,3006,3801,1227,2697,5169,1231,3716,1232,3277,1479,1699,1635,1812,1892,3473,2292,4074,2941,1766,3961,5287,3137,1163,5102,2936,239,4011,4867,4598,1388,4765,4080,2219,752,1539,413,2493,367,4883,4959,2957,4675,2258,4499,2305,3430,2850,3934,1221,3421,1448,2371,2926,1381,2211
206,206,4652,35,678,165,989,109,4922,4774,792,1211,3220,1706,3719,386,2678,4929,4893,3668,1897,4604,5160,4659,4658,4223,157,790,938,4032,5245,3873,3706,1917,5028,3512,3048,3026,324,2692,4066,11,4302,4450,2812,3149,758,4966,258,2088,1139,366,2957,4080,1189,147,3768,5192,3514,649,2294,850,670,1831,2433,4817,4978,1131,4218,288,843,413,549,5044,5063,1303,5118,2405,715,2076,4004,3421,3069,609,4457,3185,632,5147,3716,4322,2145,3029,2622,4945,1283,3763,809,4598,3285,5068,2941
207,207,2838,5040,4113,255,1713,2717,4881,2033,3821,607,4342,567,3274,862,844,3686,2794,2649,375,5223,4130,421,3156,285,57,4064,2316,447,5260,2440,1242,4952,2798,137,4206,4903,4483,5123,4314,127,1708,276,174,3150,1806,4059,1452,2521,2107,4371,4817,2294,2392,649,3684,3421,2672,4137,2433,3580,1425,1831,843,1088,5063,5215,4978,850,4158,5118,715,3069,4004,2405,1740,1131,2076,3716,609,5044,3185,2622,4945,3029,1303,4457,5147,2145,4322,288,413,632,1283,809,3763,4598,3285,5068,2941
208,208,2228,4561,967,3729,1521,4221,3442,543,696,3844,4869,4208,2198,3575,1383,4495,1621,2536,4071,4240,1203,3320,3632,4691,4701,1878,3981,4261,1776,5145,654,2972,974,1806,2551,2501,2798,4310,4052,717,1631,720,171,452,1656,1437,4903,3422,1604,3247,1088,4978,413,3580,850,4291,843,4832,4817,715,2392,649,3865,4004,1831,5044,2076,5063,1425,1131,4158,549,609,1740,5118,2405,4218,5215,3716,2145,3069,4457,288,4945,3029,5147,3185,2622,3421,809,1283,632,1303,4322,3763,3285,4598,5068,2941
209,209,3372,702,4000,2075,2657,1942,3178,1218,224,2895,725,512,2111,3103,653,2251,4588,280,1828,5320,4102,3997,1548,1220,1325,3584,2450,2306,3565,1258,2746,1627,4197,3618,4481,3259,5096,1652,1590,2086,85,2914,3642,766,5191,3497,1416,5100,3531,1812,1766,1662,2498,1388,2571,3452,4080,4275,3961,1773,1723,143,3285,752,482,4675,1479,2926,2957,3137,3473,684,1231,4538,1838,2351,2219,3649,2941,3430,5102,4598,2936,2850,4011,4573,4312,2371,4883,1448,4765,1163,2493,3421,367,2211,2258,3934,1381
210,210,2066,693,3141,3342,53,2524,3756,2778,404,4409,4694,742,1268,3835,1614,66,556,2488,820,13,529,343,2774,4936,280,2387,1373,5217,231,810,814,2163,1135,2990,2366,4488,5031,3091,183,1443,1215,21,2119,250,3918,2520,430,4100,4053,1295,3277,482,1745,1315,4961,2151,1788,4275,143,4005,2637,852,2377,3267,1812,1662,2351,198,2710,5186,1052,1232,1983,5170,4573,3961,2021,4538,1479,4669,3137,1838,1766,3092,3145,3869,1163,1231,5102,4011,752,4883,3430,2936,367,4765,2258,3934,1381
211,211,3640,1595,3767,2028,1240,1057,1562,841,1339,2253,3470,4596,378,1383,568,5300,1203,2252,4255,974,3764,2193,5227,2730,2817,2159,30,4919,3871,1631,2192,2202,1993,2577,726,2350,1028,4821,2290,1357,100,3632,4087,538,661,1841,960,1413,3312,3716,649,3207,4457,4745,4004,1347,3271,2912,61,5063,4945,4484,715,609,3928,2405,362,4746,3287,4158,3588,178,5118,3580,3865,3069,3684,3185,5147,3029,1088,2622,4322,1740,2392,632,809,288,1283,2179,3763,4598,1425,5215,218,3285,5068,1303,2941
212,212,280,693,512,1674,3299,1268,1496,3644,1976,2306,52,575,183,437,2792,4100,1560,4525,2595,3103,3956,3348,890,128,1257,85,2414,3370,1693,4234,4257,4679,383,1222,2100,2111,3042,2030,2657,1934,3883,3517,1465,4000,3416,402,134,2311,337,3430,1021,3662,5068,2371,4598,2637,5186,684,3961,2493,5170,3452,2413,4669,1277,1812,4312,752,1315,1212,1766,5102,4275,1662,2926,1448,4538,3092,198,4005,482,1231,1479,2941,4011,2936,2211,2351,4573,1838,4883,3137,4765,3421,1163,367,2258,3934,1381
213,213,2786,1883,1506,2235,94,779,5100,2133,2132,3596,3103,3542,3618,4103,5320,21,2206,4102,2964,4570,797,1124,2486,890,1677,2896,278,4544,2306,1933,1106,3201,2617,2804,3791,1034,4098,3454,3351,2929,5151,2111,2096,4729,3259,4426,1490,4650,2895,4336,3649,1505,3158,1662,2710,3339,2351,1788,5186,1163,2219,3267,5170,1273,4573,2151,2292,2637,4295,1812,143,4538,3137,4675,1448,3277,3362,1479,1766,4669,1232,1388,2021,1983,1231,2371,3961,2936,4011,367,2258,2211,5102,752,4765,4883,3934,3430,1381
214,214,3414,1872,4296,2816,1239,1462,4062,244,3676,4529,290,797,4248,606,5320,2921,1692,3104,5100,4152,4548,2932,3623,282,635,1143,428,2448,5281,2136,4280,3211,1424,4587,998,5307,5020,610,4428,2673,264,3497,5191,3372,3386,3542,5335,3446,2512,2877,785,442,2926,1371,2606,3119,4669,3421,2140,3473,4538,239,3346,1231,2305,684,3649,5336,1983,2865,4295,3362,2021,143,959,4011,2936,367,4080,1232,2219,4867,2258,5102,752,2957,4765,1448,4675,2292,1388,2371,4883,2850,3934,2493,2211,3430,1381
215,215,4178,3206,3625,1253,256,3859,4915,5228,4944,921,617,2421,2006,1194,2033,3771,1162,2602,4202,1919,4142,3965,339,1086,3432,4952,4878,3070,1713,4549,3082,911,775,3274,275,1647,3821,418,3627,1830,2967,979,2605,4041,3419,4526,4843,5196,5258,4371,3768,4817,4218,1088,700,3684,3421,3514,843,1425,4832,4978,2433,715,4004,4291,2076,5215,2392,5118,649,609,850,5063,3716,1131,2405,413,1831,3069,5044,4945,2622,3029,2145,3185,4457,5147,1303,809,4322,1283,288,632,3285,4598,3763,5068,2941
216,216,1061,773,1914,403,448,130,1816,3826,4967,1119,3513,1287,3425,2599,4353,4540,2161,2034,3215,1045,4796,1891,4493,3955,4018,2629,1235,3420,2466,5194,2119,2276,533,1012,2554,3458,1312,5266,5226,2041,1427,4019,1900,5133,5003,4137,5165,2569,2583,2582,3137,5186,4961,3267,1662,781,3208,2960,2733,1231,2574,4016,5170,5102,4275,4181,2377,3430,1212,1025,1745,752,1232,2880,1479,4088,3160,4011,1163,4573,4669,4538,2936,1277,4328,4005,1118,4883,3092,2351,3907,4341,367,4765,2258,1315,1838,3934,1381
